lga_code,lat,lon,lga_name
10050,-36.02663051,146.9705907,Albury
10180,-30.36736281,151.8990857,Armidale Regional
10250,-28.85279833,153.4861705,Ballina
10300,-33.95033684,143.6116226,Balranald
10470,-33.43005726,149.5256901,Bathurst Regional
10500,-33.94957562,151.1672332,Bayside (NSW)
10550,-36.82594056,149.7175562,Bega Valley
10600,-30.40378182,152.7286041,Bellingen
10650,-35.73427198,145.7111486,Berrigan
10750,-33.74091557,150.8640096,Blacktown
10800,-33.8943383,146.9612701,Bland
10850,-33.59431006,149.1420492,Blayney
10900,-33.69754254,150.4111152,Blue Mountains
10950,-31.53810417,146.8668929,Bogan
11150,-29.91057571,145.3568103,Bourke
11200,-29.79161342,146.9608759,Brewarrina
11250,-31.94400469,141.4793085,Broken Hill
11300,-33.88383055,151.1031145,Burwood
11350,-28.60410719,153.482523,Byron
11400,-33.15300763,148.7540679,Cabonne
11450,-34.00887212,150.724252,Camden
11500,-34.08337202,150.8458793,Campbelltown
11520,-33.85351088,151.1145159,Canada Bay
11570,-33.92360291,151.0373397,Canterbury-Bankstown
11600,-33.60895454,145.496432,Carrathool
11650,-33.30803079,151.2854743,Central Coast
11700,-31.85067493,143.5897058,Central Darling
11720,-32.92503512,151.224993,Cessnock
11730,-29.68171672,152.7511099,Clarence Valley
11750,-31.86798396,145.4828693,Cobar
11800,-30.18895247,153.0396802,Coffs Harbour
12000,-34.63252438,147.1048339,Coolamon
12150,-30.87052437,148.2916075,Coonamble
12160,-34.85292163,148.0940743,Cootamundra-Gundagai Regional
12350,-33.79639791,148.7180217,Cowra
12380,-33.84209957,150.9865091,Cumberland
12390,-32.42470627,148.8543968,Dubbo Regional
12700,-32.34955316,151.6082837,Dungog
12730,-35.17251986,144.9415268,Edward River
12750,-35.94527658,149.9469407,Eurobodalla
12850,-33.86564085,150.8956061,Fairfield
12870,-35.49710855,146.2714013,Federation
12900,-33.4216067,147.8671901,Forbes
12930,-33.97123668,151.0863319,Georges River
12950,-31.61900385,148.6907696,Gilgandra
13010,-29.64496544,151.9030475,Glen Innes Severn
13310,-34.87603657,149.81348,Goulburn Mulwaree
13340,-35.75028129,147.1717847,Greater Hume Shire
13450,-34.30041008,146.0035955,Griffith
13550,-31.04654143,150.1889039,Gunnedah
13660,-29.59347215,150.5168302,Gwydir
13800,-33.33478586,150.7732975,Hawkesbury
13850,-34.31585245,144.6837157,Hay
13910,-34.35201503,148.5009242,Hilltops
14000,-33.58388799,151.0895831,Hornsby
14100,-33.83328849,151.1447085,Hunters Hill
14170,-33.89154382,151.1548521,Inner West
14220,-29.41885059,151.075175,Inverell
14300,-34.81724669,147.6688583,Junee
14350,-30.95153506,152.6447399,Kempsey
14400,-34.67894073,150.7562191,Kiama
14500,-33.73451974,151.1509045,Ku-ring-gai
14550,-28.61778597,152.7756089,Kyogle
14600,-32.92007339,146.9897424,Lachlan
14650,-33.03885093,151.5300955,Lake Macquarie
14700,-33.82001433,151.1665579,Lane Cove
14750,-34.53235499,146.3020366,Leeton
14850,-28.75609334,153.2707222,Lismore
14870,-33.27761132,150.1790309,Lithgow
14900,-33.93597222,150.8251455,Liverpool
14920,-31.55059849,150.4383982,Liverpool Plains
